1	1382,7707,9034,908,1	268,6578,7637,5036,7775,9764,7212,3716,243,550,7605,5750,236,4907
2	8476,1737,8217,649,3563	7678,2019,5292,175,2211,7328,6331,3907,4074,3657,6922,7091,3032
3	8534,1522,4040,640,2150	2622,5794,6069,6220,4399,6668,9220,958,483,8303,1692,152,3138,6376,3333,9208,9019,3719
4	8310,5314,2271,6229,7461	138,4927,6763,6100,7861,1997,498,9793,1944,508,1040,1993,3721,7584,3840,5359,4338
5	111,602,706,476,250	571,799,2196,3874,157,4798,5089,4492,9396,1599,121,2886,5279,716
6	8089,6473,3522,5228,7192	8529,3481,4990,8620,7219,5288,5372,8651,607,2722,6149,1190,2951,8380
7	137,4327,1509,5928,488	6227,8265,1063,8325,261,4845,5590,2188,7711,4456,651,4160,7802,4404,9155,8559
8	9597,6914,3371,7120,8367	502,800,5051,3150,9463,617,4389,8789,8520,7167,6716,7045,9128,5127,3944
9	97,4599,62,1466,3602	7205,8643,8682,7866,5919,1349,9199,4395,6523,5812,1912,3611,9761,1747
10	79,6577,467,4181,8513	1385,454,4674,9044,2816,6780,821,13,9683,4633,3666,176,6201,6130,2739,8092,6483
11	23,6771,8841,9595,9275	2764,28,7715,7833,168,8763,2661,2546,4043,2146,2248,8154,9618,524
12	4044,5726,12,7066,3461	8698,4439,4829,2121,8512,1783,9732,8354,5800,511,986,9429,4642,8046,8668
13	9563,7741,8761,5650,5910	6780,40,3349,10,2082,8799,8171,4674,8636,6897,4550,362,3666,176,1385,9044,5276,6060,8092
14	3233,1001,4724,9647,6293	1165,6105,1505,8467,9331,8787,4078,1767,5423,2818,4280,5179,4797,9409,2679
15	8843,2018,7159,6305,8974	989,746,1179,64,979,159,164,1229,1030,429,371,1013,627,49,1216,229,382
16	5973,4576,5961,439,8184	3982,204,6211,287,3020,9676,9464,3628,5072,3410,5536,7577,2455,1729,3164,1552,6856,5428
17	9097,8549,8947,48,1564	3303,8159,3937,1667,787,9604,3271,5518,2812,1967,3063,559,7123,2350,594,2570,4912,5972
18	18,3224,833,2473,5493	8003,3482,733,9047,4306,6261,8866,2114,801,7254,8703,1090,9029,9786,9477
19	19,7504,4097,985,2926	4090,1045,1350,89,3320,6637,5303,2807,8536,1173,3934,1884,3178,1540
20	5456,5586,7015,5455,8944	4449,2462,4707,2450,5734,6641,1928,7808,8546,845,2653,1478,4818,489,8414,8997,6186
21	8491,101,1896,2373,7241	4767,1128,899,3473,5658,5157,143,5959,9516,8736,2898,6170,5868,5015,6618,4982,9135,9641
22	1836,9769,8141,6582,520	2579,1441,1486,2432,3634,2559
23	11,6771,9595,8841,9275	2764,28,7715,7833,168,8763,2661,2546,4043,2146,2248,8154,9618,524
24	4837,7659,6506,1914,3219	253,8149,3745,5566,3597,3231,7095,6903,8802,2091,2663,7322,6943,7085,8179,2942,6323,660
25	451,1271,361,5324,4274	6454,513,9072,2712,7732,5719,9484,174,3712,92,5354,3538,1416,4054,1899,1959
26	9191,1787,3085,2062,1026	4151,8272,7146,3393,1169,9064,2964,6174,2269,2777,7663,2160,7795,9016,2139,2072,433
27	2103,5325,2367,753,3486	4741,667,591,3821,7245,1044,2661,8763,9201,1427,8713,8372,3892,1886,6617,5183,524,4018
28	168,2146,2248,8763,5455	7833,1886,1044,2661,11,4043,9201,1427,3892,9275,23,8841,9618,524,9595
29	1702,5753,4361,6933,5871	522,1358
30	4503,8517,4710,7056,2654	2370,2621,1872,2918,702,8443,2250,5738,3970,1118,3504,7035,750,9488,2177
31	1511,669,1364,2515,6827	7428,7463,7672,3029,926,3421,3398,6855,5377,4787,1631,7086,8886,4015
32	7792,5729,4291,540,4380	4716,6028,1493,6681,1339,8097,188,2155,1560,3292,1189,4432,5882,880
33	5931,8271,5764,7654,3944	581,7041,9153,2489,6711,123,1658,2036,3055,8425,5878,1793,481,509,7587,1081,2943
34	7976,9448,2501,1268,8595	112,201,293,216,598,6440,438,587,406,674,2832,2956,578,344,492,4524
35	3854,3223,4927,4822,1993	2771,4068,5331,4382,2623,314,3951,6513,6474,8783,508,2484,7584,1802,3840,874,8993
36	7765,8042,181,83,8912	2562,7517,5804,9624,6744,8945,9077,6481,7347,295,6017,4867,9603,2971,8061,4276,1399
37	6782,8584,5037,5467,7293	3769,8136,8322,5771,1831,5367,1877,4095,3418,286,7914,5240,7263,4987,1360,8090
38	5289,38,8034,7412,6714	7931,9778,1437,5156,3159,621,3078,932,2558,8342,335,161,3010,1346,7800,104,7933
39	8998,4107,4425,1282,4605	2304,3394,5481,8638,7138,7031,2353,8494,2086,1789,3782,1034,689,6611,7178,6502,4314
40	6897,5884,8774,5837,7674	5174,5851,3766,1840,3975,13,2901,3349,8164,362,779,6333,4678,4537,797,8799,5821
41	41,8389,7100,4167,8399	2276,583,7539,7222,5023,4114,8749,8627,911,915,296,1797,8777
42	5392,773,6517,1647,9221	402,3049,3488,4998,3784,8675,8227,1571,2507,1521,4980,2366,8571,3991,1347
